	GSM461182_untreat_single_featureCounts.counts	GSM461176_untreat_single_featureCounts.counts	GSM461177_untreat_paired_featureCounts.counts	GSM461178_untreat_paired_featureCounts.counts	GSM461179_treat_single_featureCounts.counts	GSM461180_treat_paired_featureCounts.counts	GSM461181_treat_paired_featureCounts.counts
FBgn0250732	1247.50499330866	1159.72839477312	1213.33837602726	1244.55948687904	874.22856885554	1090.77053662496	1051.75746305442
FBti0060344	0	0	0	0	0	0	0
FBgn0286036	0	0	0	0	0	0	0
FBgn0037409	0	2.50481294767413	0	0	0	1.49420621455475	0
FBgn0027948	7123.3618455594	7957.28977217117	7532.03130349228	6289.66021513109	9371.07996213536	8748.57738621803	7563.04751828712
FBgn0038675	220.000880583491	288.053488982525	219.334244897235	249.215819106426	238.61667596237	264.47449997619	264.786714937589
FBgn0264900	0	0	0	0	0	1.49420621455475	0
FBgn0000500	0.83333666887686	2.50481294767413	1.55556202054777	4.5588259592639	4.19545803889881	7.47103107277373	8.62096281192149
FBgn0261504	0	0	1.55556202054777	0	0	0	0
FBgn0037610	194.167443848308	182.350382590677	206.889748732853	229.460906616283	164.671728026778	270.451324834409	236.460694269847
FBgn0053095	0	0	0	0	0	0	0
FBgn0038070	0.83333666887686	1.00192517906965	1.55556202054777	0	3.67102578403646	0	1.23156611598878
FBgn0267571	1.66667333775372	8.01540143255721	4.6666860616433	4.5588259592639	3.14659352917411	1.49420621455475	6.15783057994392
FBgn0261859	867.503472300811	1119.1504250208	1213.33837602726	1034.8534927529	1235.5623924557	1371.68130496126	1288.21815732427
FBgn0262389	0	0	0	0	0	0	0
FBgn0037363	1581.67299752828	1848.55195538351	1988.00826226005	1742.9911250919	1477.32566194724	1434.43796597256	1530.83668217406
FBgn0039552	0	0.500962589534826	0	0	0	0	0
FBgn0267797	0	0.500962589534826	0	0	0	0	0
FBgn0039732	121.667153656022	142.774338017425	141.556143869847	162.598125880412	179.355831162924	132.984353095372	134.240706642777
FBgn0038224	1149.17126638119	1091.59748259638	983.115196986188	1054.60840524305	1327.33803705661	1135.59672306161	1121.95673166578
FBgn0264776	282.501130749255	269.517873169736	213.111996815044	291.764861392889	269.558178999249	212.177282466774	204.439975254138
FBgn0038525	0	0	0	0	0.524432254862352	0	0
FBgn0262397	0	0	0	0	0	0	0
FBti0019351	0	0.500962589534826	0	0	0	0	0
FBti0019410	0	0	0	0	1.0488645097247	0	0
FBgn0262899	0	0	0	0	1.0488645097247	0	0
FBgn0261436	718.336208571853	671.289869976666	808.892250684838	855.539671688524	653.44258955849	724.690014059052	832.538694408418
FBti0063117	0	0	0	0	0	0	0
FBgn0262378	0	0.500962589534826	0	0	0	0	0
FBgn0038814	1.66667333775372	3.00577553720895	0	0	3.14659352917411	4.48261864366424	2.46313223197757
FBgn0286871	0	0	0	0	0	0	0
FBgn0267809	0	0.500962589534826	0	1.51960865308797	0.524432254862352	1.49420621455475	0
FBgn0038279	0.83333666887686	2.50481294767413	0	0	2.09772901944941	2.98841242910949	0
FBgn0037625	0.83333666887686	0	0	0	0	0	1.23156611598878
FBgn0053093	0	0.500962589534826	0	0	1.0488645097247	0	0
FBti0062189	0	0	0	0	0	0	0
FBti0019436	0.83333666887686	3.00577553720895	3.11112404109553	3.03921730617593	2.09772901944941	0	2.46313223197757
FBgn0051579	0	0	0	0	0	0	0
FBgn0027574	399.168264392016	470.403871573201	482.224226369808	393.578641149783	413.252616831533	363.092110136803	385.480194304489
FBgn0260746	728.336248598375	949.825069758029	1059.33773599303	1205.04966189876	1209.86521196745	1279.04051965886	1439.70078959089
FBgn0037930	2087.50835553653	2340.49721830671	1925.78578143813	2325.00123922459	2394.5576757015	2269.69923990866	2351.05971542259
FBgn0038709	0	0.500962589534826	0	0	0.524432254862352	1.49420621455475	0
FBgn0027095	1936.67441846982	1834.52500287653	1550.89533448612	1990.68733554523	2136.01257405436	1918.56077948829	2184.7982897641
FBtr0309605_df_nrg	0	0	0	0	0	0	0
FBgn0051450	234.167603954398	212.909100552301	194.445252568471	255.294253718778	209.248469690078	203.212045179445	229.071297573914
FBgn0038774	0	0.500962589534826	0	0	0	0	0
FBgn0037794	210.834177225846	280.539050139502	205.334186712305	200.588342207611	307.317301349338	209.188870037664	205.671541370127
FBgn0039229	1605.00642425683	1578.0321570347	1743.78502503405	1627.50086745721	1332.58235960524	1700.4066721633	1652.76172765695
FBgn0065064	31.6667934173207	31.560643140694	18.6667442465732	6.07843461235186	33.0392320563282	25.4015056474307	13.5472272758766
FBti0019348	0.83333666887686	0.500962589534826	0	1.51960865308797	0	0	0
FBgn0038737	157.500630417726	127.244497741846	127.556085684917	179.31382106438	140.023412048248	162.868477386467	181.040219050351
FBgn0262431	0	0	0	0	0	0	0
FBti0063768	0	0.500962589534826	0	0	0	0	0
FBgn0037399	0.83333666887686	0.500962589534826	0	0	1.0488645097247	0	0
FBti0019411	0	0	0	0	0	0	0
FBti0020393	0	0.500962589534826	1.55556202054777	3.03921730617593	0.524432254862352	0	0
FBgn0039291	93.3337069142083	95.6838546011517	66.8891668835539	63.8235634296945	104.88645097247	50.8030112948613	61.5783057994392
FBgn0037547	0.83333666887686	2.0038503581393	1.55556202054777	0	1.0488645097247	0	0
FBgn0038966	388.334887696617	404.276809754604	337.556958458865	387.500206537431	307.317301349338	254.015056474307	304.19683064923
FBgn0037690	4.1666833443843	6.01155107441791	4.6666860616433	3.03921730617593	6.29318705834822	8.96523728732847	2.46313223197757
FBti0019321	2.50001000663058	2.50481294767413	1.55556202054777	9.11765191852779	1.0488645097247	1.49420621455475	3.69469834796635
FBgn0038783	0.83333666887686	1.00192517906965	0	0	0.524432254862352	0	0
